Gene	WT_RNA_Rep1	WT_RNA_Rep2	WT_RNA_Rep3	Null_RNA_Rep1	Null_RNA_Rep2	Null_RNA_Rep3
IGKJ4	0	0	0	0	0	0
IGKJ5	0	0	0	0	0	0
IGKC	0	0	0	0	0	0
LOC124907856	0	0	0	0	0	0
IGKDEL	0	0	0	0	0	0
LOC105374854	0	0	0	0	0	0
LOC100132330	0	0	0	0	0	0
MIR4436A	0	0	0	0	0	0
MALLP2	0	0	0	0	0	0
ANKRD36BP2	10	8	10	7	6	1
LOC105374853	0	0	0	0	1	0
RPIA	534	537	686	1034	1110	853
LOC102724805	45	62	50	32	24	25
EIF2AK3-DT	28	24	48	13	3	7
EIF2AK3	483	468	453	763	690	344
LOC101928371	0	0	3	1	2	1
TEX37	1	4	10	3	4	3
FOXI3	299	345	550	590	602	392
RPL38P6	0	0	0	0	0	0
RNU6-1007P	0	0	0	0	0	0
RNU6-1168P	0	0	0	0	0	0
MRPL45P1	0	0	0	0	0	0
LOC124906155	0	0	0	0	0	0
LOC124907855	0	1	0	0	0	0
RNY4P15	0	0	0	0	0	0
THNSL2	116	141	146	108	83	91
LOC101928347	0	0	0	0	0	0
FABP1	0	1	0	0	0	1
MIR4780	0	0	0	0	0	0
SMYD1	1	0	1	2	0	2
KRCC1	360	448	521	361	308	159
LOC105374852	32	38	29	16	13	5
RNU2-63P	1	0	2	3	1	1
LOC124906185	0	0	0	0	0	0
LOC100419917	1	0	2	0	0	0
ANAPC1P5	0	0	0	0	1	0
WBP1P2	211	181	164	149	121	110
NDUFB4P7	0	0	0	0	0	0
MTATP6P28	1	2	2	6	4	1
MTATP8P2	2	0	1	0	0	0
RGPD2	1093	1267	909	1165	1013	390
PLGLB2	35	16	17	27	24	6
ANAPC1P4	1074	1096	1149	1008	974	609
LOC101928214	0	2	1	26	22	4
RPS14P5	0	0	0	0	0	0
MIR4435-1	0	0	0	0	0	0
PAFAH1B1P1	0	0	1	0	0	1
LOC107985909	1	3	0	13	11	4
CYTOR	112	110	171	583	609	545
LINC01943	4	2	9	53	48	11
LOC105377635	48	19	11	28	19	12
LOC124907854	37	30	41	62	46	47
LOC100652743	0	0	0	2	0	2
LOC105374848	21	18	15	25	17	7
DBF4P3	0	0	0	0	0	0
LOC107985908	0	0	0	0	0	0
LINC01955	1	0	5	4	0	0
LOC107985771	4	2	1	1	1	0
CENPNP1	0	0	0	0	0	0
MIR4771-1	1	0	0	0	0	0
LOC102724642	1675	1424	1817	1899	1590	1230
ANAPC1P3	53	78	53	107	46	37
TRP-AGG4-1	0	0	0	0	0	0
ANAPC1P2	1204	1315	1341	1051	1063	648
PLGLB1	33	18	12	26	21	6
NDUFB4P5	0	0	0	0	0	0
WBP1P1	150	123	142	110	97	82
RGPD1	1064	1253	870	1178	913	429
ANAPC1P1	166	142	57	133	116	26
CD8B	11	4	19	4	12	10
LOC105374846	0	0	2	3	0	1
CD8A	8	4	10	3	5	4
RMND5A	2480	2130	2629	2682	2274	1510
LOC124907853	3	0	0	3	0	0
RNF103	284	305	296	264	217	141
CHMP3-AS1	0	0	0	0	0	2
RNU6-640P	0	0	0	0	0	0
CHMP3	20	17	13	18	27	13
RNF103-CHMP3	7	4	5	3	3	2
KDM3A	1935	4879	3509	1322	1196	803
LOC124900517	0	0	0	0	0	0
REEP1	83	57	85	35	23	37
MRPL35	1129	1115	1371	1611	1476	1006
MIR4779	0	0	0	0	0	0
IMMT	5124	4560	5964	5946	5601	4013
SNORD94	10	6	10	10	6	2
PTCD3	4648	4619	5110	4160	3721	2394
LOC124907852	0	0	0	0	0	0
POLR1A	3833	2058	2226	4877	4081	1874
LOC105374843	0	0	0	0	1	0
LOC124906031	0	0	0	0	0	0
LOC124906030	0	1	0	0	0	0
ST3GAL5-AS1	0	1	3	1	0	0
ST3GAL5	111	129	136	87	200	82
RN7SKP83	0	0	0	0	0	0
LOC284950	0	0	0	1	3	1
MIR6071	0	0	0	0	0	0
ATOH8	94	44	40	58	114	67
RNU1-38P	0	0	0	0	0	0
LOC124907851	0	0	0	1	0	0
GNLY	2	2	2	4	4	5
GPR160P1	0	0	0	1	1	0
LOC105374842	0	0	0	1	0	0
SFTPB	1	0	0	1	4	0
C2orf68	1610	1532	2078	1488	1198	1049
USP39	3147	2820	3770	3976	3601	2750
TMEM150A	540	356	422	775	746	516
RNF181	1611	1806	2192	1660	1740	1516
VAMP5	46	81	53	81	99	94
VAMP8	786	997	983	2216	2341	1642
RN7SL126P	0	0	0	0	0	0
GGCX	1233	1155	1387	1485	1362	874
MAT2A	7759	3702	4807	11191	8335	4780
PARTICL	118	96	126	64	67	42
RPSAP22	0	0	0	0	0	0
RN7SL251P	0	0	0	0	0	0
RNU7-64P	0	0	0	0	0	0
SH2D6	24	20	25	16	13	18
LOC105374841	12	7	11	8	3	10
CAPG	1019	1128	1586	1585	1824	1488
LOC124906137	0	0	0	0	0	0
RN7SL113P	0	1	0	1	0	0
LINC01964	0	0	0	0	0	0
KCMF1	2366	2089	2647	3671	3241	2246
RPS2P17	30	24	39	30	29	22
TMSB10	17606	16461	24187	25421	30247	22007
LOC105374836	3	3	1	3	3	3
LOC105374837	0	0	0	0	0	0
RPL12P18	1	0	0	0	0	0
TRABD2A	173	162	305	256	242	173
LDHAP7	3	0	2	0	2	3
LOC100420432	0	0	0	0	0	0
DUXAP1	0	2	0	0	0	0
DNAH6	53	50	27	15	9	11
SUCLG1	1478	1316	1904	2972	3377	2412
FUNDC2P2	4	7	12	22	19	22
LOC107985905	0	0	0	0	0	0
ST6GALNAC2P1	0	0	0	0	0	0
CRLF3P3	0	0	0	0	0	0
RNU6-1312P	0	0	0	0	0	0
RPL37P10	0	0	0	0	0	0
LINC01809	0	0	0	0	0	0
LOC105374834	0	0	0	0	0	0
LOC105374833	0	0	0	0	1	0
LOC112268410	0	0	0	0	0	0
LOC124908050	0	0	0	0	0	0
LOC105374832	0	1	0	0	0	0
DHFRP3	0	0	0	0	0	0
LOC105374831	0	0	0	0	0	0
MTCYBP7	0	0	0	0	0	0
MTND6P7	0	0	0	0	0	0
MTND5P27	0	0	0	0	0	0
MTND4P25	0	0	0	0	0	0
LOC124906192	0	0	0	0	0	0
RBX1P1	0	0	0	0	0	0
LOC124906132	0	0	0	0	0	0
LYARP1	0	0	0	0	0	0
RNU6-685P	0	0	0	0	0	0
RN7SL201P	0	1	0	0	0	0
LOC105374829	0	0	0	0	0	0
LOC105374828	1	1	0	1	1	1
RNA5SP99	0	0	0	0	0	0
LOC102724542	0	0	0	0	0	1
LINC01815	0	0	0	0	0	0
CHMP4AP1	0	0	0	0	0	0
ANKRD11P1	1	0	0	0	0	0
LOC105374827	0	0	0	0	0	0
LOC105374824	0	0	0	0	0	0
LOC107985904	0	0	0	0	0	0
LRRTM1	66	19	23	109	205	101
LOC107985903	0	0	0	0	0	0
RBM7P1	2	1	1	0	1	0
MIR8080	0	0	0	0	0	0
MIR4264	0	0	0	0	0	0
RNU6-561P	0	0	0	0	0	0
GNA13P1	0	0	0	0	0	0
CTNNA2-AS1	1	0	1	0	0	0
LOC105374823	0	0	0	0	0	0
CTNNA2	360	125	157	55	36	23
REG3A	0	0	0	0	0	0
REG1CP	0	0	0	0	0	1
REG1A	13	13	13	41	37	21
REG1B	0	0	0	0	0	0
REG3G	0	0	0	0	0	1
LOC105374822	0	0	0	0	0	0
RNU6-812P	0	0	0	0	0	0
RNU6-827P	0	0	0	0	0	0
LOC105374821	7	3	2	3	1	2
LOC105374819	0	0	0	0	0	0
LOC105374820	0	0	0	0	0	0
LOC100421651	0	0	0	0	0	0
LOC124906027	0	1	0	17	27	27
CYCSP6	0	0	0	8	24	10
LOC101927948	0	0	0	0	0	0
LOC105374816	0	0	0	10	11	10
SNAR-H	0	0	0	0	0	0
LOC105374817	0	0	0	3	0	1
LINC01851	0	0	0	1	0	0
RPL38P2	1	0	0	0	0	0
LOC101927967	0	0	0	0	0	2
TRP-AGG5-1	0	0	0	0	0	0
LRRTM4-AS1	0	0	0	0	0	0
LOC105374815	95	161	217	35	52	70
RNA5SP98	0	0	0	0	0	0
LRRTM4	183	173	186	259	202	84
RN7SKP164	0	0	0	0	0	0
LOC105374814	44	60	89	31	49	63
RN7SKP203	55	88	19	189	267	7
USP21P2	0	0	0	0	0	0
PNPP1	0	0	0	0	0	0
SUCLA2P2	0	0	0	0	0	0
LOC105374813	4	3	6	3	1	2
LOC124906025	50	36	41	48	30	23
GCFC2	704	548	511	506	335	186
SUPT4H1P1	0	3	7	8	6	5
MRPL19	1982	1971	2167	2672	2540	1625
LOC124906161	0	0	0	0	0	0
LOC124906195	0	0	0	0	0	0
LOC124906026	3	1	0	21	17	8
EVA1A-AS	1	0	0	0	0	0
EVA1A	76	62	85	101	92	66
LOC124906189	0	0	0	0	0	0
GAPDHP57	0	0	0	0	0	0
LOC124906160	0	0	0	0	0	0
LOC105374810	0	0	0	0	1	0
LOC107985900	9	7	6	38	50	29
LOC105374811	81	68	69	405	548	289
MIR5000	0	0	0	0	0	0
TACR1	72	119	80	144	145	165
LOC124907850	0	1	0	3	1	0
POLE4	240	198	354	248	249	239
LOC105374809	59	40	55	49	34	23
LINC01291	0	0	0	0	0	0
HK2	2424	6507	4547	3134	2863	1674
RPS28P5	0	0	0	0	0	0
LOC102724482	2	3	1	0	0	0
LOC102724497	2	3	3	2	0	0
SEMA4F	448	560	553	167	137	115
TVP23BP2	0	0	0	0	0	0
TOR1BP1	0	0	0	0	0	0
M1AP	49	110	163	49	67	74
DOK1	564	317	464	661	456	497
LOXL3	905	878	807	710	663	514
HTRA2	528	412	527	533	537	483
AUP1	2225	1782	2651	2760	2780	2275
DQX1	28	32	41	13	17	12
TLX2	5	7	1	11	19	22
PCGF1	216	207	284	248	279	251
LBX2-AS1	16	6	18	28	28	45
LBX2	10	5	16	12	8	11
TTC31	1183	989	1262	1226	924	778
CCDC142	324	168	215	369	286	192
MRPL53	614	516	729	656	779	686
MOGS	2052	1712	2232	2286	2380	2067
WBP1	106	103	86	86	64	50
INO80B	1	2	1	2	1	1
INO80B-WBP1	1	0	0	0	0	1
RTKN	1170	828	1170	2397	2407	1535
WDR54	1494	2272	2167	431	396	486
HMGA1P8	109	98	89	112	88	66
C2orf81	122	137	102	22	10	27
DCTN1-AS1	12	5	12	8	7	5
DCTN1	8155	5262	6355	9578	9433	6085
TAF13P2	0	0	0	0	0	0
NECAP1P2	0	0	0	0	0	0
RNU6-542P	0	0	0	0	0	0
KRT18P26	0	0	0	0	0	0
SLC4A5	47	75	49	25	15	19
MTHFD2	2950	2913	3786	4796	5322	3436
MOB1A	2287	2267	2305	2439	2187	1265
BOLA3-DT	272	336	398	142	123	90
BOLA3	712	815	1233	1157	1168	932
FNBP1P1	11	12	11	20	13	5
TET3	1576	1080	991	1568	1103	363
RNA5SP97	0	0	0	0	0	0
DGUOK-AS1	14	12	20	6	3	6
DGUOK	1464	1356	1952	1688	1464	1273
ACTG2	96	88	85	380	843	298
LOC100420774	0	0	0	0	0	0
LOC112268419	2	5	4	3	6	0
STAMBP	1502	1318	1729	1556	1479	1067
LOC105374807	5	5	2	12	4	5
LOC124907848	2	0	0	1	1	0
LOC105374803	0	0	0	0	0	1
LOC105374802	0	0	0	0	0	0
RNU6-111P	0	0	0	0	0	0
EGR4	0	0	1	6	22	5
LOC124907840	0	2	0	0	1	2
FBXO41	560	330	462	537	382	232
CCT7	12337	12226	15848	19298	18572	14217
PRADC1	319	226	335	370	480	397
SMYD5	2021	1579	2036	2683	2360	1606
NOTO	10	6	11	8	16	9
RAB11FIP5	605	537	700	765	837	471
LOC105374800	5	10	34	19	11	12
LOC107985897	15	8	5	27	17	13
SFXN5	1168	729	1019	1992	1644	1134
EMX1	5	0	2	28	36	23
LOC100419678	0	0	0	0	0	0
SPR	159	98	178	398	517	369
LOC124900538	0	0	0	0	0	0
RNU2-39P	0	0	0	0	0	0
RPS15AP13	0	0	0	0	0	0
EXOC6B	2010	1624	1565	2277	1942	1041
CYP26B1	68	96	51	28	46	19
LOC105374798	2	5	1	0	0	0
RPS20P10	2	0	3	4	1	1
LOC124907827	2	0	6	8	10	8
DYSF	414	203	247	1480	1480	504
RNU6-105P	1	0	2	4	1	0
ZNF638	4956	4649	3040	4793	4081	1699
LOC105374797	13	7	5	2	1	2
PAIP2B	825	766	1129	812	620	600
MPHOSPH10	1184	1045	989	1958	1743	782
MCEE	127	152	191	144	129	89
NAGK	887	670	910	1750	1694	1271
OR7E62P	0	0	0	0	0	0
TRE-CTC15-1	0	0	0	0	0	0
OR7E46P	3	0	0	3	2	2
OR7E91P	0	0	0	1	0	0
LOC105374796	0	0	0	0	0	0
TEX261	1289	900	1232	2001	1902	1228
ANKRD53	25	15	30	31	34	19
LOC105374795	8	3	4	3	1	0
RN7SL160P	0	0	0	0	0	0
ELOCP21	0	0	0	0	0	0
ATP6V1B1-AS1	3	1	2	24	23	25
ATP6V1B1	23	35	22	29	11	22
LOC124906188	0	0	0	0	0	0
VAX2	3	6	2	232	188	112
LINC01143	1	0	1	5	4	2
CD207	0	0	0	13	15	7
MOB4P1	0	0	0	0	0	0
CLEC4F	1	0	0	18	8	15
HMGN2P21	29	27	54	41	34	17
FIGLA	0	0	0	0	0	0
LOC105374794	1	0	3	1	1	0
ADD2	7312	6135	5803	8427	5927	3452
LOC124907824	0	0	0	2	0	3
LOC107985895	0	0	0	0	0	0
TGFA-IT1	0	0	0	0	0	0
TGFA	79	66	81	150	113	120
TRUND-NNN9-1	0	0	0	0	0	0
BRD7P6	0	0	0	0	1	0
FAM136A	3723	2584	3444	5937	5550	3488
LOC124906023	0	0	3	1	0	0
SNRPG	3561	2845	4735	4100	3688	3161
PCYOX1	1892	2176	1969	1703	1669	894
RPL39P15	10	12	14	33	24	14
MIR1285-2	0	0	0	0	0	0
TRG-CCC2-1	0	0	0	0	0	0
TIA1	4549	4306	3235	3840	3487	1355
C2orf42	246	209	218	232	224	136
LINC01816	41	45	39	28	32	23
MRPL36P1	25	18	35	41	41	34
LOC124906022	0	0	0	0	1	2
PCBP1	11153	9307	12180	17569	17038	11281
RN7SL470P	0	0	0	0	0	0
PCBP1-AS1	1	1	1	2	2	0
LOC124906177	0	0	0	0	0	0
ASPRV1	95	87	100	56	63	37
MXD1	37	59	64	62	102	21
LOC124906176	3	2	4	2	0	1
SNRNP27	709	702	845	788	776	502
RPL23AP92	0	0	0	0	1	1
GMCL1	757	657	713	744	620	316
LOC124906021	1	1	0	0	2	0
LOC107985770	3	3	9	73	346	80
LOC124906149	0	0	0	0	0	0
ANXA4	319	219	320	445	546	275
B3GALNT1P1	0	0	0	0	0	0
RPL36AP16	0	0	0	0	1	0
SNORA36C	0	1	0	0	0	0
RN7SL604P	0	0	0	0	0	0
AAK1	1101	744	873	1480	1073	545
LOC124906020	0	2	0	9	10	4
NFU1	1289	1269	1659	1947	2184	1558
GFPT1	2511	2702	2372	3943	4142	2016
LOC124907821	0	0	0	0	0	0
LOC100421347	0	0	0	0	0	0
LOC124906019	23	9	15	39	33	3
RNU6-1216P	0	0	0	0	0	0
RNA5SP96	0	0	0	0	0	0
MIR3126	0	0	0	1	0	0
ANTXR1	2140	1429	1647	1733	1459	782
GKN1	0	0	0	0	0	0
GKN2	0	0	0	0	1	1
GKN3P	0	0	0	0	0	0
LOC105374792	0	0	0	0	0	0
BMP10	1	2	0	3	30	9
LINC01888	0	0	0	0	0	0
LINC01890	0	0	0	0	0	0
LOC105374790	0	0	0	1	1	2
ARHGAP25	36	34	35	60	63	53
PROKR1	97	44	60	151	113	54
LOC100379290	1	0	2	0	0	0
LOC100420887	0	1	0	0	0	0
APLF	184	147	140	146	174	67
FBXO48	111	136	122	122	66	70
WDR4P2	0	0	0	0	0	0
PLEK	0	0	0	3	1	0
LOC101927723	0	0	0	0	0	0
LOC102724389	0	1	0	2	0	0
CNRIP1	110	51	120	33	30	27
LOC107985892	0	0	0	0	0	0
PPP3R1	1633	1194	1399	2858	2398	1163
PNO1	1127	856	1174	2484	2483	1711
DNAAF10	607	575	640	721	653	507
PPIAP64	0	1	3	0	2	0
LOC124906018	0	0	0	0	0	0
LOC105374789	1	1	3	2	5	2
C1D	477	439	589	598	463	375
FBXL12P1	0	0	0	0	0	0
LINC01812	0	0	0	0	0	0
LINC02831	0	0	0	0	0	0
LOC105374786	0	0	0	0	0	0
LOC124906017	0	0	0	0	0	0
LOC124907804	0	0	0	0	0	0
LOC107985891	0	0	0	0	0	0
ETAA1	831	740	564	706	438	175
LOC101927661	2	0	0	0	0	0
LINC01829	6	6	6	7	3	2
LINC01828	0	0	0	0	0	0
LOC105374785	0	0	0	1	0	0
LINC01628	0	2	0	0	0	0
LINC01799	0	1	0	0	0	0
DNMT3AP1	0	0	0	0	0	0
LINC01797	2	0	0	0	0	0
LINC01798	5	5	0	3	0	0
LOC124900511	3	5	0	1	3	1
MEIS1-AS2	2	5	2	2	6	3
MEIS1	200	345	72	172	244	107
MEIS1-AS3	4	2	0	0	6	0
LINC01873	3	5	0	12	13	3
MIR4778	0	0	0	0	0	0
LOC107985812	1	2	3	8	3	7
LOC107985890	1	2	3	5	3	8
LINC02934	0	0	0	0	0	0
LOC105369167	0	0	2	0	0	1
LOC107985889	0	0	0	0	0	0
KRT18P33	0	0	1	1	0	1
VTRNA2-2P	0	0	0	0	0	0
RN7SL635P	0	0	0	0	0	0
RPS15AP15	0	0	0	0	0	0
DNAJB12P1	0	3	0	4	0	2
LOC105374781	0	0	0	0	0	0
LOC124907784	0	0	3	2	0	0
LOC105374780	0	0	0	0	1	0
SPRED2	1469	929	1061	2420	2081	1051
LOC124907781	4	1	3	0	2	1
ACTR2	6815	6871	6293	8680	7963	3712
VDAC2P5	2231	2404	3325	3632	3732	2708
LOC124907779	2	0	0	1	3	0
LOC124906140	0	0	0	0	0	0
RAB1A	3315	3359	3724	4882	4639	2904
CEP68	1595	1089	1087	1211	874	669
LINC02576	8	5	9	12	6	7
RNU6-548P	0	0	0	1	0	0
SLC1A4	112	64	49	205	379	164
RPL11P1	7	6	2	1	0	1
LOC124906172	0	0	0	0	0	0
RN7SL211P	0	0	0	0	0	0
LINC02245	0	4	0	0	1	0
LINC01800	2	2	8	0	1	0
RN7SL341P	0	0	0	0	0	0
LOC105374776	0	0	0	0	0	0
LOC105374777	1	0	2	0	1	0
RPS10P9	0	0	0	0	0	1
LOC124907776	7	4	5	6	6	2
LOC105374775	11	7	6	22	10	1
SERTAD2	487	444	455	479	491	207
LINC02579	1	0	0	0	0	0
RNU6-100P	0	0	0	0	0	0
LOC105374773	6	11	2	8	9	1
MIR4434	0	0	0	0	1	0
AFTPH	536	585	530	586	519	293
AFTPH-DT	5	3	7	8	1	4
LINC01805	0	0	0	0	0	1
LGALSL	846	899	973	801	663	449
LOC124907775	0	0	1	1	0	0
LGALSL-DT	10	10	18	15	9	4
RPL23AP37	0	0	1	0	0	0
MIR4433A	0	0	0	0	0	0
MIR4433B	0	0	0	0	0	0
LOC105374769	0	0	1	0	0	0
LOC100507006	101	152	243	201	136	101
LINC00309	11	9	4	22	19	8
PELI1	2278	2829	2350	2398	1965	1084
LOC124907774	0	2	0	1	0	4
VPS54	800	841	620	901	836	403
UGP2	10261	8603	13870	9428	9596	6875
HNRNPA1P66	1	0	0	2	8	1
CSP1	0	0	0	1	0	0
RPL27P6	1	2	5	1	1	1
RPS4XP5	0	0	0	0	1	0
PRELID1P6	458	412	620	663	665	533
MDH1	7470	6002	8983	6067	5943	4865
MTFR2P1	0	0	0	0	0	0
LOC107985769	0	0	0	0	0	0
WDPCP	280	216	261	136	161	114
DBIL5P2	1	1	0	0	0	0
RPL27P5	2	0	0	0	0	0
LOC100420499	0	0	0	0	0	0
OTX1	182	13	72	26	24	17
EHBP1-AS1	58	11	24	20	6	5
RPS20P9	0	0	0	0	0	0
EHBP1	1368	1119	1018	1019	871	415
RSL24D1P2	0	1	2	0	1	0
PSAT1P2	0	0	1	2	0	1
RPL21P37	855	851	1192	887	782	629
RPL37P13	0	0	0	0	0	1
RN7SL18P	0	0	0	0	0	0
TMEM17	67	62	55	55	49	24
LOC105374764	3	3	7	3	6	1
LOC124906156	0	0	0	0	0	0
LOC105374761	0	0	6	1	3	1
RN7SL51P	0	0	0	0	0	0
MIR5192	0	0	0	0	1	0
B3GNT2	1036	883	1030	1191	1727	882
LOC124906013	28	28	59	16	26	36
PIGPP1	0	0	0	0	0	0
RPSAP26	676	546	1006	765	693	614
LOC124906012	0	1	0	0	1	0
COMMD1	572	484	678	748	818	634
LOC124907773	3	6	5	2	2	1
CCT4	8827	9195	12617	12004	11480	8924
LOC100533678	1	0	0	1	2	0
RPL31P30	0	1	1	3	0	0
RPS24P7	0	0	0	0	0	0
FAM161A	915	797	639	418	317	198
LOC105374760	0	2	0	1	0	0
LOC107985767	8	8	11	5	2	5
LOC647077	0	0	0	0	0	0
RNU6-1145P	0	0	0	0	0	0
RPS29P10	0	0	0	0	0	0
LOC100422418	0	0	0	0	0	0
LOC124907772	1	3	8	11	5	3
XPO1	11823	9952	10252	13599	9567	4989
SNORA70B	0	0	0	0	0	0
USP34	3328	2560	1315	3570	2501	774
AHSA2P	948	1185	1296	617	481	370
LOC105374758	2	2	1	2	0	1
C2orf74	325	314	317	199	202	152
C2orf74-DT	313	377	393	196	206	172
LOC105374759	0	1	2	0	0	2
SANBR	555	527	435	440	336	151
PEX13	629	582	596	728	642	324
RNA5SP95	0	0	0	0	0	0
PUS10	145	127	146	137	101	67
RPS12P3	2	3	10	1	3	0
NONOP2	11	10	12	9	4	2
RNU4-51P	0	0	0	0	0	0
REL	313	337	177	307	227	67
RPL21P33	0	0	0	0	0	0
REL-DT	0	0	0	0	0	0
RN7SL632P	0	0	0	0	0	0
PAPOLG	873	833	756	772	597	309
ATP1B3P1	4	3	8	8	12	6
RNU6-612P	0	0	0	0	0	0
RPL26P13	0	0	0	0	0	0
IFITM3P9	0	0	0	0	0	0
RN7SL361P	0	0	0	0	0	0
BCL11A	387	279	526	581	409	282
LOC124906010	0	1	0	3	5	2
LOC102724142	0	0	3	27	13	17
MIR4432	0	0	0	0	0	0
RNU1-32P	0	0	0	0	0	0
MIR4432HG	1	0	0	2	1	1
RNA5SP94	0	0	0	0	0	0
RNU6-508P	0	0	0	0	0	0
LOC105374754	0	0	0	0	0	0
LINC01793	0	0	0	0	0	0
LOC124907771	22	20	22	15	6	3
LINC01122	27	22	22	15	9	4
LOC644456	34	30	32	25	34	19
LINC01795	0	0	0	0	2	0
EIF3FP3	1400	1326	1706	1328	1321	1110
FANCL	895	774	880	586	442	344
LOC107984043	4	1	2	0	3	0
LOC124907770	0	0	0	0	0	0
VRK2	437	409	301	462	420	183
LOC124907769	0	0	0	0	0	0
LOC105377628	0	0	0	0	0	0
ACTG1P22	0	0	0	0	0	0
LOC105374697	0	0	0	0	0	0
LOC101927235	0	0	0	0	0	0
LOC124900539	0	0	0	0	0	0
EIF2S2P7	0	0	0	0	0	0
LOC124906180	0	0	0	0	0	0
PPIAP63	0	0	0	0	0	0
LOC101927213	0	0	0	0	0	0
RNA5SP93	0	0	0	0	0	0
CCDC85A	14	3	0	6	15	7
LOC100129434	5	6	3	25	14	8
LINC01813	0	0	0	0	0	0
MIR216B	0	0	0	0	0	0
MIR216A	0	0	0	0	0	0
MIR217	0	0	0	0	0	0
MIR217HG	4	2	1	0	0	0
RN7SKP208	0	0	0	0	0	0
LOC105374690	2	0	1	18	19	9
EFEMP1	248	235	286	1074	1094	694
LOC112268416	0	0	1	0	0	1
LOC107985811	2	2	0	2	1	1
PNPT1	1630	1369	1524	2231	1931	1184
LOC124900537	0	1	1	2	0	1
PPP4R3B	1359	1404	1150	1713	1454	600
CFAP36	877	925	1031	580	549	442
RNU6-634P	0	0	0	0	0	0
RNU6-221P	0	0	0	0	0	0
RNU6-775P	0	0	0	0	0	0
BTF3P5	493	421	856	491	467	403
LOC124907768	1	0	0	0	1	1
CCDC88A	2683	2072	1196	2429	1390	437
PRORSD1P	27	25	19	54	43	22
MTIF2	1333	1410	1445	1500	1412	916
RPS27A	26924	24282	38983	28583	31099	22561
CDPF1P1	5	7	0	4	3	2
CLHC1	220	191	201	169	136	71
LOC105374662	0	1	0	0	2	0
RNU6-433P	0	0	0	0	0	0
RTN4	8809	7102	9194	10838	8354	5375
RNU7-81P	0	0	0	0	0	0
EML6-AS1	0	0	0	0	0	0
EML6	59	30	32	100	90	65
LOC105374653	0	0	0	0	0	0
LOC124906008	0	0	0	2	0	0
RPL23AP32	0	0	0	0	1	0
LOC124905935	0	0	1	2	0	0
SPTBN1	8329	6271	5690	11973	10287	4365
LOC102724072	0	0	0	0	0	0
C2orf73	1	1	0	0	0	0
TSPYL6	0	0	0	0	0	0
LOC105374610	0	1	0	0	0	0
RNU7-172P	0	0	0	0	0	0
LOC105374615	1	5	1	0	0	0
HMGB1P31	8	11	11	2	0	1
LOC124906138	0	0	0	0	0	0
RPL21P30	0	0	0	0	0	0
ACYP2	69	112	90	28	25	28
PSME4	4015	3074	3133	5883	5029	2864
GPR75	38	18	15	90	62	16
MIR3682	1	0	0	8	4	4
LOC124906183	0	0	0	0	0	0
LOC112268415	2	2	8	4	4	4
ERLEC1	1159	1102	1140	1433	1299	757
CHAC2	232	135	232	251	223	163
GPR75-ASB3	0	0	0	0	0	0
ASB3	27	27	31	28	21	15
LOC105374600	2	0	1	3	3	0
RNU6-997P	0	0	0	0	0	0
LOC124900528	0	0	0	0	0	0
LOC105369165	0	0	0	0	0	0
MIR4431	0	0	0	0	0	0
LOC105374598	0	0	0	0	1	0
FTH1P6	0	0	0	0	0	0
CRTC1P1	2	1	6	5	3	1
GGCTP3	0	0	0	0	0	0
LINC01867	12	14	9	32	36	11
LOC107985766	0	0	0	0	0	0
LOC124907767	0	0	0	0	0	0
ZNF863P	0	0	0	0	0	0
LOC105374597	0	0	0	0	0	0
CCDC12P1	0	0	0	0	0	0
CRYGGP	0	0	0	0	0	0
KNOP1P3	0	0	0	0	0	0
LOC105377627	0	0	0	0	0	0
LOC730100	65	98	37	148	120	68
LOC124906006	0	1	1	0	0	0
MIR8485	0	0	0	0	0	0
LOC101927089	0	0	0	0	0	0
MTCO1P42	0	0	1	0	0	0
NRXN1	243	122	117	45	45	27
RPL7P13	0	0	0	1	1	0
LOC124906005	0	0	0	0	0	0
LOC105374595	0	0	0	0	0	0
RNU6-439P	0	0	0	0	0	0
LOC107985810	0	0	0	0	0	0
MIR548BA	0	0	0	0	0	0
FSHR	2	6	4	18	28	6
CTBP2P5	0	0	0	0	1	0
ELOBP3	0	0	0	0	0	0
LOC105374594	1	0	0	0	0	2
LHCGR	9	13	16	11	5	2
TPT1P11	0	0	0	0	0	0
GTF2A1L	0	0	0	0	0	0
STON1	382	433	424	220	144	115
STON1-GTF2A1L	1	3	0	8	6	4
RNU6-282P	2	0	0	0	0	0
PPP1R21	740	695	715	888	858	562
RNU4-49P	0	0	0	0	0	0
FOXN2	379	407	304	399	339	136
LOC124907766	5	1	0	5	3	3
LOC102724008	0	0	0	0	0	0
RN7SKP224	0	0	0	0	0	0
LOC105374593	0	0	0	0	0	0
LOC124907765	13	10	29	14	19	7
VN1R18P	0	0	0	0	0	0
LOC105374591	0	1	0	0	0	0
LOC105374592	0	0	0	0	0	0
LOC105374590	0	1	0	0	1	0
LOC100506235	17	14	18	20	11	10
RPS27AP7	0	0	0	0	0	0
FBXO11	1460	1210	1061	2048	1517	784
RPL36AP15	3	0	0	1	0	1
MSH6	9426	7620	8345	10843	8781	6234
LOC105374589	0	1	1	5	6	1
NME2P2	0	0	0	0	1	0
LOC440864	2	0	7	21	30	18
RPL18AP6	510	482	752	521	502	457
LOC124907764	1	3	2	0	0	1
MSH2-OT1	0	6	0	7	3	1
