Gene	  Oocyte	 Zygote	2cell 	4cell 	8cell 	Morulae	Trophectoderm	Primitive 	epiblast	hESC p0	hESC passage10
LOC121952	0.164	0.139	0.086	0	0.005	0	0	0	0	0	0
NDUFS8	1.721	6.6	5.623	6.393	10.44	11.884	55.416	102.945	31.015	64.269	170.2
TFCP2L1	0.221	0.625	0.469	0.806	0.209	0.932	28.834	10.814	22.826	0.726	0.759
HSPB3	0	0	0	0	0.315	0	0.332	0	0	0	0
RBM4	69.004	138.597	90.53	127.099	246.618	129.956	124.187	85.032	74.5	210.165	173.889
CSF1	0	0	0	0	0.084	0	0	0	0	0	0.024
RBMXL3	0	0	0	0	1.581	0	0	1.333	0	0	0
FNIP1	0.515	0.736	0.663	0.579	0.698	1.013	1.477	0.041	1.584	1.097	1.867
KRTAP11-1	0	0.1	0	0.303	0	0	0	0	0	0	0
SCIN	35.166	24.75	12.888	16.093	1.256	2.417	0.238	0	0.022	0.975	0.65
MBOAT1	1.14	1.49	1.843	1.113	4.096	7.566	8.865	4.469	7.489	6.624	7.008
MRPS11	4.571	7.054	3.488	5.478	35.576	54.398	126.7	158.698	69.576	52.97	72.189
FAM86B1	0.283	2.065	2.614	3.862	1.264	0.449	0.694	0.184	0.678	2.904	2.985
MYO5B	2.809	9.038	5.983	14.946	5.562	1.661	13.262	6.078	12.43	1.708	1.518
FEM1B	0.239	0.74	0.385	2.12	8.389	6.072	1.724	0.662	7.148	6.101	3.644
LOC347376	1.008	0.287	0.375	0.422	0.972	1.421	2.469	0.566	4.162	1.543	1.116
MTHFSD	0.891	0.983	0.525	1.858	0.297	1.46	0.8	0.351	5.25	0.746	0.98
TLX2	0.2	0.472	0.265	0.591	0.5	0.041	0	0.082	0	0.147	0.384
POLM	0.324	1.527	1.207	1.159	2.349	2.076	1.195	1.59	0.571	1.604	1.179
UHRF2	76.473	73.027	60.513	51.808	19.895	12.814	8.196	3.583	1.54	3.874	4.919
CPLX1	0	1.984	1.484	1.366	0.14	0.681	0	0	1.237	0.015	0.238
CENPH	48.879	16.803	10.928	16.788	24.379	26.978	19.932	35.881	36.356	67.284	46.914
MRGPRX4	0	0	0	0.022	0	0	0.015	0	0	0	0
ZNHIT1	4.249	4.508	4.697	7.571	79.602	123.269	54.097	109.494	64.735	43.902	94.638
S100A5	0	0	0	0	0	0.007	0	0	0	0	0
ANKAR	0.5	0.429	0.247	0.278	0.38	1.93	0.296	0	0	0.253	0.08
EFHD1	18.927	15.028	26.515	23.619	6.461	4.912	123.236	15.214	43.554	3.879	2.101
C21orf119	0.72	0.414	0.127	2.408	5.12	10.627	1.372	3.502	0.083	22.44	0.204
HIST1H4G	0	0	0	0	0.311	0.135	0	0	0	0	0.051
COPZ2	0	0	0.018	0	0	0.125	0	0	0	0.524	0
LCN12	0	0	0	0	0	0	0	0	0	0	0
C9orf98	0.215	0.088	0.07	0.3	0.342	0	0.028	1.43	0.286	0	0.05
NUDT7	34.485	12.924	8.719	14.115	8.059	4.962	3.158	0	0.228	14.034	3.664
POLR2I	6.296	6.762	5.526	9.082	14.987	16.688	52.699	83.14	48.713	83.098	134.741
MYEF2	2.095	3.344	1.454	2.866	1.031	1.558	0.528	0.119	0.513	6.416	5.399
TMCO2	0	0.061	0	0	0	0.201	0	0	0	0	0
DUX4L5	0	0	0.047	0.256	0.01	0	0.006	0	0	0	0
ANGPTL7	0	0.04	0	0	0	0	0	0	0	0	0
SNAR-I	0	0	0	0	0	0.066	0	0	0	0	0
MIR556	0	0	0	0	0	0	0	0	0	0.073	0
ODF3L2	0.075	2.813	3.336	3.511	0.239	0.198	0	0	0	0	0.014
KCNH2	0.179	0.582	0.423	0.325	0.18	0.207	0.21	5.502	2.925	2.072	1.574
TSEN15	2.337	1.501	0.65	1.066	0.542	3.018	5.874	5.412	3.228	9.949	7.43
C6orf164	0	0	0.028	0.057	0	0.044	0	0	0	0.083	0
CCDC122	3.267	3.199	2.954	2.283	5.818	12.88	4.654	2.67	5.53	8.392	7.41
LOC100129250	0.709	0.278	0.146	0.1	7.921	4.343	0.166	0	2.158	1.684	3.342
CELF6	0	0	0	0	0	0	0	0.126	0	0.513	0
TUBA3C	0	0.158	0.166	0.129	5.83	6.617	0.016	0.143	0	0.036	0
SCARNA4	0	0	0.384	0	0.083	0	0	0	0	0	0
IGFALS	0.867	0.882	0.603	0.821	1.258	0.015	0	0	0	0	0
FAM90A13	0	0	0.236	53.803	5.82	19.754	0.006	0	0	0	0
NPAT	67.488	50.071	43.348	35.92	17.317	11.249	10.326	1.553	5.282	5.234	5.509
NR0B1	0.102	0	0	0	0.065	0	0	0	0	0.012	0.041
ZNF547	0.961	5.455	2.45	3.862	1.704	4.024	1.136	0.052	0.165	0.841	1.728
CDKL4	0.752	0.423	0.146	0.173	1.009	2.432	0	0	0	0	0.015
LOC158572	0.449	0.865	0.497	0.387	0.186	0.137	0	0	0	0	0
RASGRP2	0.04	0	0	0.096	0.315	0.371	12.356	22.051	4.835	7.09	3.488
HAUS6	1.247	1.461	0.789	2.003	9.239	10.919	11.878	3.338	6.935	15.777	7.758
TMEM217	0.107	0.207	0.139	0.106	0.073	0.069	0	0.046	0	0.014	0.005
CSTL1	0	0	0	0	0	0.008	0	0	0	0	0
KIF16B	6.77	6.048	4.668	5.839	3.08	6.333	2.348	1.163	0.094	3.637	1.952
APOB	0	0	0	0	0	0	0	0	0	0.069	0.078
PIGR	0	0.048	0.041	0.235	0.63	1.285	1.321	0.353	0.6	0.806	0.963
RCOR3	5.168	9.309	7.381	12.409	7.073	4.827	6.833	6.633	7.123	6.277	4.429
NRP2	0	0	0	0.083	0	0	0	0	0	1.123	1.24
PRR20C	0	0.055	0.126	33.049	24.034	4.76	0	0.058	0	0	0
CDH2	5.725	10.953	7.852	11.42	3.371	1.228	0.013	2.147	1.402	4.343	9.687
FUT6	0.034	0.14	0.07	0.376	1.242	5.597	1.169	0.099	0.561	0.333	0.299
CECR7	0	0	0.054	0.014	1.189	0.531	0	0	0	0	0
ACPT	0.046	0	0	0.102	0	0.128	0.103	0	0.139	0	0.034
GTF3A	2.404	3.708	2.662	3.686	10.906	34.573	118.713	79.047	144.366	26.465	29.139
AIM1L	0.688	0.602	0.371	0.685	0.245	0.542	6.477	2.086	3.263	0.679	2.721
ARID5B	0.235	0.12	0.086	0.517	0.488	4.108	0.211	0.059	0.08	0.589	0.168
FLNC	0.308	0.92	0.976	1.633	0.456	0.028	0.807	0.662	0	0.435	1.165
PRAF2	1.822	1.791	1.786	1.218	34.764	6.851	0.522	0.065	8.589	4.05	7.736
ZRSR2	14.538	36.619	42.621	20.303	52.999	9.64	2.498	0.842	3.563	9.555	6.038
C14orf147	1.086	1.776	0.978	0.81	2.866	5.366	17.392	5.548	29.361	3.29	4.749
GPR151	0	0	0	0	0	0	0	0	0	0	0
KRAS	0.451	0.333	0.206	0.182	27.464	37.13	31.635	20.534	41.007	26.64	17.881
C21orf94	0	0	0	0	0	0.305	0	0	0	0	0
NECAP2	331.154	107.384	68.926	85.261	16.541	17.467	29.059	33.4	49.817	6.341	11.579
C4A	0	0	0	0.081	0.121	0.105	0.024	0.219	2.835	0	0
SOX2OT	0.15	0	0.16	0.015	0.703	0.93	0.019	2.56	1.166	1.474	2.058
LOC441177	0	0	0	0	0	0	0	0	0	0	0.004
DSG2	2.533	2.423	2.189	2.747	3.29	8.291	49.696	30.655	16.429	28.047	28.101
ISOC2	6.938	5.338	3.071	13.726	9.737	5.877	30.916	75.401	53.206	43.096	18.359
SIGLEC14	0	0	0	0	0.029	0.007	0.084	0	0.048	0	0
C4orf37	3.585	2.864	2.044	1.542	0.156	1.467	0	0	0	0	0.005
MIR3179-1	0	0	0	0	0	0	0.138	0	0	0	0
HSPA4	18.939	29.32	20.283	24.292	25.733	36.253	207.408	138.014	155.948	159.801	145.961
SERPINB7	0	0	0	0	0	0.007	0	0	0	0	0
DHX40	5.945	9.415	5.632	9.723	25.373	9.022	5.863	5.938	0.344	6.498	6.565
SNORD4A	0	0	0	0	0.052	0	0.036	0	0	0	0
RAB26	0.257	0.07	0.058	0.353	0.508	0.314	0	0	0.136	1.21	0.052
EVI5	3.107	3.866	2.342	2.205	3.736	8.428	4.228	2.837	5.592	1.302	1.701
CAPN9	0	0	0	0	0	0	0	0	0	0	0.036
LOC440040	0.983	0.328	0.081	2.101	5.499	6.23	0.016	0	0	0	0
PRRT4	0	0	0	0	0.049	0.036	0	0	0	0.038	0
SNORA11E	0	0	0	0	0	0	0	0	0	0.064	0.029
GET4	0.559	1.503	0.933	1.133	17.224	11.053	21.953	15.053	12.299	18.19	28.369
IFT80	0.27	0.378	0.3	0.392	4.056	1.567	1.597	0	0	2.213	1.163
ENAM	0.044	0.037	0.032	0	0.298	1.252	0	0	0	0	0
SPEM1	0	0	0	0	0	0	0	0	0	0.021	0
DLL1	0.102	0.416	0.167	1.995	1.23	0	0	0	0	6.31	5.755
LSM10	7.288	10.881	10.197	22.067	194.026	183.183	78.564	89.682	63.489	54.102	50.108
RGAG4	0	0	0	0.078	0.047	0.099	0	0	0	0.015	0.059
C12orf10	0.255	1.053	1.08	3	27.108	20.816	6.497	29.982	4.237	48.395	51.872
MYL6	8.393	4.127	3.172	6.993	46.574	79.716	241.396	304.688	315.259	471.463	625.395
NAGA	2.394	2.461	1.92	8.963	2.666	11.794	22.824	5.012	18.752	6.066	5.504
C13orf39	0	0	0	0	0	0	0	0	0	0	0
HLA-DPB2	0	0	0	0.411	0.012	0.04	0	1.188	0	6.685	6.987
HSPA4L	68.623	42.042	40.085	34.715	20.057	11.183	6.382	4.27	2.666	1.586	0.791
PLXNC1	3.626	3.898	2.778	7.295	1.105	0.493	0	0	0.075	0.165	0.174
TAG	5.653	6.394	7.472	7.821	1.72	0.99	0.694	0.108	0.023	0.119	0.079
C14orf169	11.43	5.936	3.906	5.297	12.766	7.303	5.795	12.011	14.441	9.815	7.388
POMZP3	193.292	55.546	112.321	88.918	50.842	44.062	2.011	0.05	0.536	3.124	4.98
ZNF441	0	0.046	0.017	0.009	0.218	0.124	0	0.079	0.332	0.09	0.207
CENPO	20.918	29.468	22.38	34.936	36.129	24.056	5.693	4.006	9.259	9.302	6.572
MTTP	0.35	0	0.064	0.13	0	0.165	0	0	0	0.949	0.055
KCTD5	267.549	74.583	59.773	69.21	50.96	27.121	14.585	8.328	9.246	19.152	11.783
CHRNB4	0.737	0.679	0.552	0.805	0.156	0	0	0	0	0.425	0.149
NYX	0	0.062	0.023	0.545	0.2	0.033	0	0	0	0	0
C1orf21	1.013	1.116	0.886	1.131	0.338	0	2.342	0.719	0.549	7.138	12.625
TOM1L2	0.714	2.338	1.928	2.948	0.754	0.54	0.386	0.791	0	0.465	0.338
DYM	18.782	21	15.069	37.034	20.213	3.652	24.903	21.57	18.399	20.331	14.877
SNORD58C	0	0	0	0	0	0	0.029	0	0	0	0
TMEM165	0.599	0.725	0.422	0.692	6.824	9.797	39.926	19.825	36.902	38.67	19.339
MNDA	0	0	0	0	0	0	0	0	2.879	0	0
RAB21	5.534	7.232	4.222	4.739	21.392	19.459	11.995	10.549	15.557	11.874	7.949
ZCCHC18	0	0	0	0	0	0.066	0	0	0	0	0.01
MSX2	5.494	4.773	2.263	1.348	0.908	1.461	18.66	7.224	3.693	1.06	0.027
LOC440104	0.967	2.563	2.107	2.559	0.543	0.264	0.102	0	0.029	1.779	2.017
CPNE2	4.635	3.4	2.386	3.008	0.916	2.311	1.577	0	1.117	2.148	1.981
PBRM1	19.861	17.039	13.835	9.222	5.956	8.649	15.438	7.779	12.707	12.316	14.933
CPB2	0	0	0	0.03	0.015	0.104	0	0	0	0	0
RNF20	70.034	96.72	106.763	110.133	39.637	34.027	7.728	4.132	11.285	10.456	24.247
LOC340094	0	0	0	0.027	0.016	0	0.093	0	0	0	0
CTF1	0	0	0.052	0	0.006	0	0.017	0	0	0	0
GRLF1	0.939	2.38	2.035	3.445	1.882	1.095	1.198	0.543	1.162	1.76	2.939
PIM1	4.79	3.967	2.869	4.256	172.319	137.824	11.296	23.696	20.576	81.348	21.326
USP9X	32.665	23.609	20.323	19.902	16.409	9.702	9.78	11.083	6.886	46.281	44.639
EGFL7	0.442	0.218	0.11	0.209	0.77	0.487	0.684	7.836	4.762	18.362	29.878
FAM169A	14.217	20.28	12.074	18.934	6.695	4.086	2.352	2.626	6.504	6.74	2.193
LOC100129316	0	0	0	0	0.007	0	0	0	0	0	0
NEK7	1.836	6.48	4.15	5.014	6.374	2.901	2.622	0.38	4.645	1.913	0.897
NCRNA00093	0	0.175	0.128	0.36	1.341	0.298	0.021	0	0.171	0.046	0.008
F11	0.117	0.378	0.09	1.317	0.009	0	0	0	0	0	0.08
LEFTY1	0.062	0.049	0	1.262	0	0.03	0	14.65	40.407	29.969	8.54
ATHL1	0	0	0	0	0	0.041	0.132	0	0	3.129	1.817
ATP2A1	0	0.57	0.463	0.592	0.226	0.456	0.11	0	0.133	0	0.198
SERINC2	1.066	7.946	5.319	6.155	1.424	0	1.437	0	0	2.216	8.36
PAXIP1	114.365	91.764	88.195	113.67	9.583	7.34	6.402	5.816	9.594	4.23	5.993
ZC3HAV1	0.065	0.106	0.034	0.105	0.713	2.354	2.493	17.839	37.387	22.708	14.824
C14orf105	0	0	0.053	0.181	0.197	0.28	0.494	0.02	0.565	0.299	0.216
ZNF80	3.701	4.013	4.073	5.712	4.197	15.103	1.066	0.157	0.434	0.4	0.491
SLBP	563.908	174.813	174.143	118.172	237.715	133.683	210.95	116.324	72.058	54.582	25.57
CCDC45	40.483	24.692	16.994	16.14	15.915	15.604	17.07	3.081	25.552	18.584	14.459
FAM181B	0.725	0.673	0.751	0.298	0.058	0.026	0	0	0	0.157	0.229
OR2T27	0.127	0	0.127	0.357	0.053	0	0	0	0	0	0
UBL4A	0	0.062	0.111	0.352	0.187	11.44	23.975	45.379	20.986	16.611	10.99
LRRC66	0	0	0	0	0.05	0.287	0	0.034	0	0	0.026
RNF5P1	2.636	1.015	1.029	2.414	2.99	11.407	15.227	10.062	6.736	37.736	41.838
KAZALD1	0.093	0.12	0.044	0.071	0.368	0.011	0	0	0	0.09	0
SLC19A3	0	0	0	0.281	0.189	0.694	5.72	4.006	0	1.223	1.414
NDUFA4L2	0	0	0	0	0	0	0	0	0	0	0
LOC338651	0	0	0	0	0	0.007	0	0	0	0	0.326
C2orf82	0	0	0	0.232	0	0	0	0	0	0	0
BNIP3	34.729	37.286	33.685	72.522	110.818	62.95	101.091	162.679	34.317	33.428	15.748
HIST3H2A	0.297	0.692	0.137	1.679	3.572	0.144	7.438	16.082	0.12	52.754	26.75
IQUB	57.183	60.371	52.637	66.923	24.138	6.236	0.562	0.084	0	0.137	0.592
STEAP4	0.13	0.072	0.148	0.583	0.114	0.007	0.511	0	0	0.069	0.071
FES	0	0	0	0.066	0.162	0.215	2.855	2.056	1.196	0.853	1.649
HTR3B	0	0	0	0	0.185	0	0	0	0	0	0
C11orf71	0.373	1.202	0.973	1.262	7.357	3.541	4.658	0	9.821	5.726	6.708
CCDC120	16.076	8.702	6.471	6.556	1.196	1.51	2.594	2.922	4.857	6.134	4.599
TTC25	2.154	5.225	2.97	1.97	0.782	2.285	0.201	0	0	0.015	0.282
NME6	13.961	8.021	6.229	5.588	40.842	95.983	38.951	16.667	22.727	20.127	22.795
RORB	0	0	0	0.014	1.754	0.48	0.005	0	0	0.214	0.183
MIIP	26.174	16.477	16.78	27.474	12.907	28.667	83.129	68.289	46.417	32.127	38.834
AP2M1	7.72	26.488	18.261	56.885	46.424	114.182	184.264	215.12	171.421	145.886	263.959
CXorf58	0.499	0.211	0.142	0.015	2.1	0.239	0.008	0	0	0	0
STAC2	0.993	1.194	1.102	0.888	0.995	1.336	0.416	0.217	0.644	4.92	4.752
SNAPC4	0.065	0.343	0.557	0.98	4.066	0.985	1.66	2.386	2.789	1.784	2.647
SLC9A7	1.352	2.31	1.406	2.748	2.017	0.274	0.389	0	0	0.071	0.706
KIAA1407	9.946	7.686	4.861	5.83	2.811	0.709	0	0	3.058	1.302	1.002
P2RY1	0.905	0.986	0.548	2.003	0.723	4.799	0	0	0	0.115	0.337
VAPB	8.392	12.378	8.381	9.555	4.67	5.01	15.337	12.726	4.382	8.096	8.087
C3orf42	0.153	0.228	0.086	0	0.261	0.147	0.07	0.124	0.022	0.289	0.249
RAB27B	2.835	3.224	2.237	9.521	4.553	0.174	0	0	0	0	0
CTSS	0.053	0	0	0.01	2.039	0.38	0.016	0	0.096	0	0
LOC100288778	0.24	0.555	0.958	0.516	2.092	2.548	1.762	0.622	0.446	1.45	2.528
LOC100130855	7.959	10.785	7.529	11.141	7.354	1.332	0.612	0.501	0.092	0.014	0.008
LOC390251	0	0	0	0	0	0.01	0	0	0	0	0
RPL7	406.863	413.637	666.255	1064.21	1847.811	4929.561	3122.329	2144.292	3279.135	2797.692	2653.946
H2BFXP	0	0	0	0	0	0	0	0	0	0	0.156
LILRA2	0	0	0	0.01	0.152	0.076	0	0	0	0	0
MYOF	8.095	15.406	8.299	16.399	2.756	2.105	49.171	24.132	20.305	0.079	0.309
TLL2	0	0	0	0.084	0.247	0.064	0	0.342	0.04	0.165	0.083
LUC7L	0.897	1.21	1.044	0.387	66.027	42.997	23.059	25.827	6.5	32.213	45.47
DKFZP434L187	0	0	0	0	0.046	0.101	0.047	0	0.024	0.036	0.134
QPCTL	0.229	0.509	0.428	0.6	1.568	1.918	1.284	0.675	1.324	1.744	2.162
ANO1	2.556	0.899	0.754	1.608	1.029	0	3.021	2.014	1.155	0.376	0.4
SGSM1	0.408	0.429	0.503	0.43	1.331	1.887	0.689	0.289	1.065	1.006	1.215
PRPF6	45.994	63.724	69.13	67.643	31.189	15.408	11.331	9.542	10.529	10.898	16.181
UQCRFS1	62.726	34.545	29.525	60.542	133.764	101.108	410.241	344.978	495.948	206.386	223.355
LOC115110	0	0	0	0	0	0.017	0	0	0	0	0
CLDN23	0	0	0	0	0.158	0	0.121	1.119	0	2.382	0.678
APOA5	0	0	0	0	0	0.797	0	0	0	0	0
LOC100329135	0.05	0.411	0.041	0.365	0.541	0.057	0	0	0	0	0
LOC643749	0.628	0.221	0.222	0.313	0.827	0.476	0.123	0.49	0.91	0.751	0.981
MYO1H	4.191	7.69	6.068	10.356	1.879	0.207	0.024	0	0	0	0.048
NAT6	0.644	2.442	1.738	3.533	9.337	8.673	3.071	20.459	0.209	5.82	2.99
BLM	9.041	7.916	4.717	6.361	8.649	6.526	8.792	10.89	2.059	11.605	9.662
NALCN	0.453	0.528	0.246	0.255	0.063	0.912	0	0	0	0	0
CHST4	0.931	2.472	1.748	1.485	0.694	1.478	0	5.394	1.103	4.896	12.603
UNC13D	1.75	3.239	2.247	4.135	2.151	1.892	0.553	2.645	4.68	3.176	4.563
PRUNE	21.711	17.528	10.629	14.94	8.05	7.253	3.104	5.013	8.381	13.983	8.55
SDC4	0	0.052	0	0.38	2.21	11.352	61.12	38.68	20.073	11.676	13.496
RRN3P1	0.455	1.358	0.456	1.23	5.628	1.312	0.298	0.222	0.219	2.823	5.792
FHL2	0	0	0	0.014	0.125	1.833	78.295	43.739	10.887	33.505	44.703
CDC42BPG	0	0.053	0.08	0.426	0.242	0.735	0.429	0	2.039	0.185	0.328
KIAA1107	4.077	3.598	1.586	0.402	0.689	2.557	2.029	0	0.433	0.325	0.062
PSMB2	113.503	54.204	45.691	90.856	198.439	282.052	266.766	293.309	227.492	314.792	336.707
WARS	1.863	21.631	13.696	19.343	11.944	26.686	31.442	96.698	96.753	36.243	64.837
LOC646851	2.161	1.945	1.674	1.879	0.335	0.4	0.147	0.07	0.233	0.986	1.586
PHOX2A	0.108	0.188	0.03	0	0.103	1.233	0	0	0	0	0.005
ZFPM1	0	0.042	0.024	0.021	0	0	0	0.055	0	0	0
ASPA	0	0.048	0	0.01	0.129	0	0	0.159	6.41	0	0
CLDND1	17.531	41.354	25.063	41.279	16.936	24.301	14.482	9.894	18.55	34.148	19.104
HCG26	0	0	0	0.917	0.669	28.75	0	0	0	0	0
MAGIX	0	0.104	0.117	0.009	0.265	0.151	0	0.833	0	0.409	0
ITPKA	0.193	0.133	0.315	0.48	6.55	8.663	0	1.311	0	0	0.409
CSF3	0	0	0	0.019	0	0	0	0	0	1.323	0.016
PCDHB2	0	0	0	0.044	0.323	2.008	0.121	0	0	3.345	6.224
GPATCH4	64.551	48.786	45.622	62.045	166.773	233.803	144.435	101.455	112.601	134.857	127.19
PDPR	21.554	11.466	14.954	28.351	7.373	9.526	1.15	0.098	0.71	17.562	29.639
PPP2CB	1.398	3.32	2.133	3.175	99.236	90.398	120.212	89.202	71.639	131.999	80.022
C2orf89	0	0	0	0.092	0.182	0.129	0	0	0	1.697	1.983
B4GALT6	4.276	8.62	5.62	3.445	1.31	0.203	0.012	0.042	0.042	0.943	0.918
DOLPP1	2.288	1.144	1.473	1.876	3.352	7.03	12.834	16.866	16.044	19.281	21.662
AP1M1	24.282	28.494	25.959	75.172	19.951	12.581	5.998	22.655	46.907	26.877	17.121
ZGLP1	2.074	2.14	2.142	3.655	2.401	1.364	0	0	0	0	1.226
JHDM1D	5.985	9.653	6.853	12.135	7.161	8.415	0.831	1.272	4.329	0.967	0.291
XKR7	0	0	0	0	0	0	0	0	0	0	0.056
CD7	0	0.053	0	0	0	0	0	0	0	0.046	0
FER1L4	0.132	0.312	0.252	0.192	0.22	0.047	0.025	0	0.064	0.027	0.262
EPRS	82.42	56.489	53.348	34.001	13.406	38.603	105.038	65.226	67.061	67.585	87.944
B4GALT2	0.417	2.972	2.044	2.465	0.134	1.193	1.602	2.257	1.279	5.597	7.541
KIAA1147	37.114	38.48	38.028	19.334	5.109	0.558	0.272	0	0	2.951	2.471
XAGE2	0	0	0	0	0.075	0	19.325	21.425	0.116	0	0
CHAT	0	0	0	0	0.084	0.036	0	0	0	0	0
HS6ST2	0	0	0	0	0	0	0.241	0	0	0.65	1.84
RAB6B	7.542	12.36	9.601	10.855	3.962	1.367	0.211	0.787	0.435	1.109	2.524
TTBK1	0	0	0	0.052	0	0.025	0	0	0	0.044	0.013
MIR922	0	0	0.088	0	0	0	0.066	0	0	0	0
PDPK1	53.718	57.949	41.005	91.174	34.524	10.193	11.443	7.248	16.959	8.093	9.012
CPT1B	0.087	0.452	0.286	0.764	0.182	0.209	0.517	0	0	0.374	1.827
KYNU	0.969	2.201	1.499	1.889	1.387	0.253	0.231	0	0	0	0
MS4A5	0	0	0	0	0	0.07	0	0	0	0	0
GPN3	27.111	25.408	17.693	15.871	51.079	57.373	37.085	24.997	15.625	48.368	38.058
NCRNA00263	0	0.116	0.18	0.247	3.798	1.156	2.62	7.548	0.959	5.285	14.518
STK32A	0.045	0.04	0	0.097	0	0	0	0	0	0	0.75
PCDHB4	0	0	0	0	0.05	0.456	0	0	0.259	0	0.064
CYBASC3	0.691	1.208	0.746	0.931	0.55	1.981	0.541	2.893	0	2.837	3.365
ZNF792	0.086	0.511	0.262	0.047	0.431	1.554	0	0	0	1.064	2.611
CXorf51	0	0	0	0.346	5.738	0.009	0	0	0	0	0
STX11	0	0	0.078	0.051	5.801	8.318	0.113	0	0.198	0.607	0.027
TBXAS1	0.197	0.067	0	0.009	0.008	0.058	0	0	0.024	0.136	0.055
C14orf159	0.038	0.121	0.032	0.597	0.574	0.16	3.127	1.928	8.201	12.001	6.239
HSF4	0	0.09	0.021	0.088	0.104	0.008	0.685	0	0	0	0
INTS10	75.13	17.743	15.495	37.968	13.778	16.81	16.677	24.21	21.089	23.013	19.369
USP25	8.736	11.432	7.68	11.447	3.486	4.754	11.881	4.301	12.373	7.321	6.339
ZNF124	9.258	12.316	3.228	2.225	39.661	27.456	16.083	5.011	8.053	5.492	10.652
NCRNA00113	0	0	0	0	0	0	0	0	0	0	0
NICN1	0.291	0.698	0.701	0.678	2.004	2.142	1.265	0.825	0.608	2.473	1.443
MIR3180-1	0	0	0	0	0.021	0	0	0	0	0	0
PCYOX1	6.375	7.892	5.682	4.931	6.48	25.069	33.913	21.056	22.496	14.801	12.446
SPRED1	0.568	0.994	0.941	0.721	1.384	1.185	1.342	0.425	1.948	7.688	3.444
CYTH2	1.743	7.71	6.853	10.524	8.221	6.575	4.472	4.557	4.282	3.549	6.344
SLPI	0	0	0	0.009	0.056	0	1.628	17.057	0.023	0	0.01
DMRTA1	32.681	17.619	6.448	7.063	1.007	0.062	0	0	0.202	11.601	6.507
FAM168B	21.236	17.368	12.771	9.459	15.295	20.282	20.325	16.775	7.582	12.06	7.704
PLEKHA7	21.799	20.828	11.336	16.76	2.162	0.81	1.449	0.27	3.773	0.393	1.339
RAD51C	28.38	17.5	11.899	18.204	18.061	69.695	21.905	30.649	11.276	24.16	17.202
GPR45	0	0	0	0	0	0	0.012	0.016	0	0	0
SPEN	1.187	1.302	0.903	1.49	3.073	1.789	6.722	2.267	12.04	10.677	4.284
REV1	102.021	79.079	64.808	73.687	19.93	5.512	12.812	5.481	16.353	9.6	7.916
PRPS1	2.135	12.653	7.719	9.977	21.292	16.927	36.024	13.886	14.713	12.515	14.477
GNA15	0	0	0	0	0	0	0	0	0	1.353	0.859
CNTNAP4	1.451	1.325	1.022	2.421	0.247	0.02	0	0	0	0	0.01
IQCF5	0	0	0	0	0.019	0.016	0	0	0	0	0
LOC646762	0.066	0.4	0.213	0.228	0.33	0.412	0.457	0.077	0	0.321	0.333
TTC32	13.336	1.853	1.281	1.005	2.062	0.394	0.741	5.53	2.435	1.567	0.829
ZNF217	1.794	5.498	2.361	7.128	17.286	16.617	9.152	1.837	22.884	10.638	7.765
LOC400927	2.834	1.922	2.221	1.963	2.239	3.17	0.602	1.09	0.604	1.102	10.05
MIR939	0	0	0.096	0	0.045	0.086	0.07	0	0	0	0.103
FRAT2	42.526	15.676	14.13	9.759	261.6	502.349	30.588	58.493	128.658	55.514	71.554
LHX8	21.887	36.398	18.6	15.27	2.752	0.512	0	0	0	1.605	0.025
MCHR1	0.044	0.388	0.412	0.531	0.08	0.473	0	0	0	0.117	0.166
ACCN2	0.335	1.972	2.149	1.24	0.537	0.054	0.051	0	0	0	0.109
HIRIP3	25.402	23.298	23.209	44.201	24.577	9.419	5.387	4.995	5.269	5.968	5.772
KCNG2	0.261	0.038	0.075	0.095	0.01	0	0	0	0	0	0
SCARNA14	0	0	0.501	0	0.138	0.045	0.814	0	0.105	0	0
ZNF101	2.693	4.035	3.314	6.849	56.679	90.761	13.778	8.233	9.766	13.941	7.33
MPHOSPH8	161.079	125.995	112.64	43.657	42.042	29.982	26.009	21.328	17.558	35.3	23.629
GALM	0.347	0.523	0.427	0.986	9.103	27.162	10.757	8.835	12.343	14.818	15.276
WDFY4	0	0	0	0	0.061	0	0	0	0	0	0
MTIF3	104.961	67.424	51.703	17.873	11.845	61.853	78.646	34.147	19.382	31.991	37.441
NCRNA00111	0	0	0	0.055	0.025	0	0	0	0	0	0
ATF5	2.728	7.037	9.486	6.557	1.691	4.363	10.026	8.127	6.243	1.753	8.068
CTH	1.102	1.2	0.537	1.17	1.708	3.686	29.457	32.787	44.847	7.916	20.907
OPRL1	0.089	0.273	0.28	0.403	0.015	0	0	0	0	0.013	0.689
TULP4	0.96	1.622	0.74	1.541	2.817	3.78	5.325	4.218	7.323	2.146	1.205
TECPR2	24.484	15.927	12.358	22.475	3.475	0.94	1.007	1.14	0.334	1.173	1.543
PAPPA2	0.035	0.114	0.138	0.194	0.246	0.242	0.082	0	0	0.053	0.124
SLC4A2	0.18	0.983	1.226	1.884	1.118	3.125	10.263	7.525	5.721	3.922	5.048
CYB5D2	2.063	4.581	3.925	8.514	4.424	6.124	4.077	5.766	0.661	4.238	9.346
PGM5P2	1.978	1.971	1.321	4.85	4.436	20.044	1.155	0.656	10.002	62.397	7.854
